,Emoji,Unicode,Hex
1096,💆🏼‍♂️,b'\\U0001f486\\U0001f3fc\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x92\x86\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1097,💆🏽‍♂️,b'\\U0001f486\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x92\x86\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1098,💆🏾‍♂️,b'\\U0001f486\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x92\x86\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1099,💆🏿‍♂️,b'\\U0001f486\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x92\x86\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1100,💆🏻‍♀️,b'\\U0001f486\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x86\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1101,💆🏼‍♀️,b'\\U0001f486\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x86\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1102,💆🏽‍♀️,b'\\U0001f486\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x86\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1103,💆🏾‍♀️,b'\\U0001f486\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x86\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1104,💆🏿‍♀️,b'\\U0001f486\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x86\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1105,💇🏻,b'\\U0001f487\\U0001f3fb',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbb'
1106,💇🏼,b'\\U0001f487\\U0001f3fc',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbc'
1107,💇🏽,b'\\U0001f487\\U0001f3fd',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbd'
1108,💇🏾,b'\\U0001f487\\U0001f3fe',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbe'
1109,💇🏿,b'\\U0001f487\\U0001f3ff',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbf'
1110,💇🏻‍♂️,b'\\U0001f487\\U0001f3fb\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1111,💇🏼‍♂️,b'\\U0001f487\\U0001f3fc\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1112,💇🏽‍♂️,b'\\U0001f487\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1113,💇🏾‍♂️,b'\\U0001f487\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1114,💇🏿‍♂️,b'\\U0001f487\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1115,💇🏻‍♀️,b'\\U0001f487\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1116,💇🏼‍♀️,b'\\U0001f487\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1117,💇🏽‍♀️,b'\\U0001f487\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1118,💇🏾‍♀️,b'\\U0001f487\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1119,💇🏿‍♀️,b'\\U0001f487\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x92\x87\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1120,🚶🏻,b'\\U0001f6b6\\U0001f3fb',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbb'
1121,🚶🏼,b'\\U0001f6b6\\U0001f3fc',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbc'
1122,🚶🏽,b'\\U0001f6b6\\U0001f3fd',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbd'
1123,🚶🏾,b'\\U0001f6b6\\U0001f3fe',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbe'
1124,🚶🏿,b'\\U0001f6b6\\U0001f3ff',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbf'
1125,🚶🏻‍♂️,b'\\U0001f6b6\\U0001f3fb\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1126,🚶🏼‍♂️,b'\\U0001f6b6\\U0001f3fc\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1127,🚶🏽‍♂️,b'\\U0001f6b6\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1128,🚶🏾‍♂️,b'\\U0001f6b6\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1129,🚶🏿‍♂️,b'\\U0001f6b6\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1130,🚶🏻‍♀️,b'\\U0001f6b6\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1131,🚶🏼‍♀️,b'\\U0001f6b6\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1132,🚶🏽‍♀️,b'\\U0001f6b6\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1133,🚶🏾‍♀️,b'\\U0001f6b6\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1134,🚶🏿‍♀️,b'\\U0001f6b6\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1135,🧍🏻,b'\\U0001f9cd\\U0001f3fb',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbb'
1136,🧍🏼,b'\\U0001f9cd\\U0001f3fc',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbc'
1137,🧍🏽,b'\\U0001f9cd\\U0001f3fd',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbd'
1138,🧍🏾,b'\\U0001f9cd\\U0001f3fe',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbe'
1139,🧍🏿,b'\\U0001f9cd\\U0001f3ff',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbf'
1140,🧍🏻‍♂️,b'\\U0001f9cd\\U0001f3fb\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1141,🧍🏼‍♂️,b'\\U0001f9cd\\U0001f3fc\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1142,🧍🏽‍♂️,b'\\U0001f9cd\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1143,🧍🏾‍♂️,b'\\U0001f9cd\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1144,🧍🏿‍♂️,b'\\U0001f9cd\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1145,🧍🏻‍♀️,b'\\U0001f9cd\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1146,🧍🏼‍♀️,b'\\U0001f9cd\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1147,🧍🏽‍♀️,b'\\U0001f9cd\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1148,🧍🏾‍♀️,b'\\U0001f9cd\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1149,🧍🏿‍♀️,b'\\U0001f9cd\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1150,🧎🏻,b'\\U0001f9ce\\U0001f3fb',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbb'
1151,🧎🏼,b'\\U0001f9ce\\U0001f3fc',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbc'
1152,🧎🏽,b'\\U0001f9ce\\U0001f3fd',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbd'
1153,🧎🏾,b'\\U0001f9ce\\U0001f3fe',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbe'
1154,🧎🏿,b'\\U0001f9ce\\U0001f3ff',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbf'
1155,🧎🏻‍♂️,b'\\U0001f9ce\\U0001f3fb\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1156,🧎🏼‍♂️,b'\\U0001f9ce\\U0001f3fc\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1157,🧎🏽‍♂️,b'\\U0001f9ce\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1158,🧎🏾‍♂️,b'\\U0001f9ce\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1159,🧎🏿‍♂️,b'\\U0001f9ce\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1160,🧎🏻‍♀️,b'\\U0001f9ce\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1161,🧎🏼‍♀️,b'\\U0001f9ce\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1162,🧎🏽‍♀️,b'\\U0001f9ce\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1163,🧎🏾‍♀️,b'\\U0001f9ce\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1164,🧎🏿‍♀️,b'\\U0001f9ce\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\xa7\x8e\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1165,🧑🏻‍🦯,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f9af',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1166,🧑🏼‍🦯,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f9af',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1167,🧑🏽‍🦯,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f9af',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1168,🧑🏾‍🦯,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f9af',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1169,🧑🏿‍🦯,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f9af',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1170,👨🏻‍🦯,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1171,👨🏼‍🦯,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1172,👨🏽‍🦯,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1173,👨🏾‍🦯,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1174,👨🏿‍🦯,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1175,👩🏻‍🦯,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1176,👩🏼‍🦯,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1177,👩🏽‍🦯,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1178,👩🏾‍🦯,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1179,👩🏿‍🦯,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f9af',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa6\xaf'
1180,🧑🏻‍🦼,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f9bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1181,🧑🏼‍🦼,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f9bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1182,🧑🏽‍🦼,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f9bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1183,🧑🏾‍🦼,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f9bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1184,🧑🏿‍🦼,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f9bc',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1185,👨🏻‍🦼,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1186,👨🏼‍🦼,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1187,👨🏽‍🦼,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1188,👨🏾‍🦼,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1189,👨🏿‍🦼,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1190,👩🏻‍🦼,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1191,👩🏼‍🦼,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1192,👩🏽‍🦼,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1193,👩🏾‍🦼,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1194,👩🏿‍🦼,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f9bc',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa6\xbc'
1195,🧑🏻‍🦽,b'\\U0001f9d1\\U0001f3fb\\u200d\\U0001f9bd',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1196,🧑🏼‍🦽,b'\\U0001f9d1\\U0001f3fc\\u200d\\U0001f9bd',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1197,🧑🏽‍🦽,b'\\U0001f9d1\\U0001f3fd\\u200d\\U0001f9bd',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1198,🧑🏾‍🦽,b'\\U0001f9d1\\U0001f3fe\\u200d\\U0001f9bd',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1199,🧑🏿‍🦽,b'\\U0001f9d1\\U0001f3ff\\u200d\\U0001f9bd',b'\xf0\x9f\xa7\x91\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1200,👨🏻‍🦽,b'\\U0001f468\\U0001f3fb\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1201,👨🏼‍🦽,b'\\U0001f468\\U0001f3fc\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1202,👨🏽‍🦽,b'\\U0001f468\\U0001f3fd\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1203,👨🏾‍🦽,b'\\U0001f468\\U0001f3fe\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1204,👨🏿‍🦽,b'\\U0001f468\\U0001f3ff\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa8\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1205,👩🏻‍🦽,b'\\U0001f469\\U0001f3fb\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbb\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1206,👩🏼‍🦽,b'\\U0001f469\\U0001f3fc\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1207,👩🏽‍🦽,b'\\U0001f469\\U0001f3fd\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1208,👩🏾‍🦽,b'\\U0001f469\\U0001f3fe\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbe\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1209,👩🏿‍🦽,b'\\U0001f469\\U0001f3ff\\u200d\\U0001f9bd',b'\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbf\xe2\x80\x8d\xf0\x9f\xa6\xbd'
1210,🏃🏻,b'\\U0001f3c3\\U0001f3fb',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbb'
1211,🏃🏼,b'\\U0001f3c3\\U0001f3fc',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbc'
1212,🏃🏽,b'\\U0001f3c3\\U0001f3fd',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbd'
1213,🏃🏾,b'\\U0001f3c3\\U0001f3fe',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbe'
1214,🏃🏿,b'\\U0001f3c3\\U0001f3ff',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbf'
1215,🏃🏻‍♂️,b'\\U0001f3c3\\U0001f3fb\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1216,🏃🏼‍♂️,b'\\U0001f3c3\\U0001f3fc\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1217,🏃🏽‍♂️,b'\\U0001f3c3\\U0001f3fd\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1218,🏃🏾‍♂️,b'\\U0001f3c3\\U0001f3fe\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1219,🏃🏿‍♂️,b'\\U0001f3c3\\U0001f3ff\\u200d\\u2642\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1220,🏃🏻‍♀️,b'\\U0001f3c3\\U0001f3fb\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1221,🏃🏼‍♀️,b'\\U0001f3c3\\U0001f3fc\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1222,🏃🏽‍♀️,b'\\U0001f3c3\\U0001f3fd\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1223,🏃🏾‍♀️,b'\\U0001f3c3\\U0001f3fe\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1224,🏃🏿‍♀️,b'\\U0001f3c3\\U0001f3ff\\u200d\\u2640\\ufe0f',b'\xf0\x9f\x8f\x83\xf0\x9f\x8f\xbf\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'
1225,💃🏻,b'\\U0001f483\\U0001f3fb',b'\xf0\x9f\x92\x83\xf0\x9f\x8f\xbb'
1226,💃🏼,b'\\U0001f483\\U0001f3fc',b'\xf0\x9f\x92\x83\xf0\x9f\x8f\xbc'
1227,💃🏽,b'\\U0001f483\\U0001f3fd',b'\xf0\x9f\x92\x83\xf0\x9f\x8f\xbd'
1228,💃🏾,b'\\U0001f483\\U0001f3fe',b'\xf0\x9f\x92\x83\xf0\x9f\x8f\xbe'
1229,💃🏿,b'\\U0001f483\\U0001f3ff',b'\xf0\x9f\x92\x83\xf0\x9f\x8f\xbf'
