,Emoji,Unicode,Hex
96,🤙🏼,b'\\U0001f919\\U0001f3fc',b'\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbc'
97,🤙🏽,b'\\U0001f919\\U0001f3fd',b'\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbd'
98,🤙🏾,b'\\U0001f919\\U0001f3fe',b'\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbe'
99,🤙🏿,b'\\U0001f919\\U0001f3ff',b'\xf0\x9f\xa4\x99\xf0\x9f\x8f\xbf'
100,👈🏻,b'\\U0001f448\\U0001f3fb',b'\xf0\x9f\x91\x88\xf0\x9f\x8f\xbb'
101,👈🏼,b'\\U0001f448\\U0001f3fc',b'\xf0\x9f\x91\x88\xf0\x9f\x8f\xbc'
102,👈🏽,b'\\U0001f448\\U0001f3fd',b'\xf0\x9f\x91\x88\xf0\x9f\x8f\xbd'
103,👈🏾,b'\\U0001f448\\U0001f3fe',b'\xf0\x9f\x91\x88\xf0\x9f\x8f\xbe'
104,👈🏿,b'\\U0001f448\\U0001f3ff',b'\xf0\x9f\x91\x88\xf0\x9f\x8f\xbf'
105,👉🏻,b'\\U0001f449\\U0001f3fb',b'\xf0\x9f\x91\x89\xf0\x9f\x8f\xbb'
106,👉🏼,b'\\U0001f449\\U0001f3fc',b'\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc'
107,👉🏽,b'\\U0001f449\\U0001f3fd',b'\xf0\x9f\x91\x89\xf0\x9f\x8f\xbd'
108,👉🏾,b'\\U0001f449\\U0001f3fe',b'\xf0\x9f\x91\x89\xf0\x9f\x8f\xbe'
109,👉🏿,b'\\U0001f449\\U0001f3ff',b'\xf0\x9f\x91\x89\xf0\x9f\x8f\xbf'
110,👆🏻,b'\\U0001f446\\U0001f3fb',b'\xf0\x9f\x91\x86\xf0\x9f\x8f\xbb'
111,👆🏼,b'\\U0001f446\\U0001f3fc',b'\xf0\x9f\x91\x86\xf0\x9f\x8f\xbc'
112,👆🏽,b'\\U0001f446\\U0001f3fd',b'\xf0\x9f\x91\x86\xf0\x9f\x8f\xbd'
113,👆🏾,b'\\U0001f446\\U0001f3fe',b'\xf0\x9f\x91\x86\xf0\x9f\x8f\xbe'
